indicativo,altitud,tmed,hrMedia_mean,latitud_dd,longitud_dd,cluster
1489A,395,13.425749211356466,75.76971608832808,42.40694444444444,-8.45111111111111,0
1495,255,14.93414703637105,76.74750639064366,42.23861111111111,-8.623888888888889,0
1496X,120,15.807205452775072,75.07286595261279,42.230555555555554,-8.724166666666667,0
1505,442,12.708233387358185,79.13824959481362,43.11111111111112,-7.4575,0
1518A,442,13.554191304347826,76.25478260869565,42.998333333333335,-7.5525,0
1521I,403,13.403542094455853,77.1858316221766,42.84527777777778,-7.499444444444444,0
1521X,1080,10.283985374771481,80.3475844790102,42.86388888888889,-7.185277777777778,0
1541B,958,11.319918032786884,69.4438524590164,42.928888888888885,-6.333888888888889,0
1542,1530,8.093056217491867,74.44657667722238,42.994166666666665,-6.414166666666668,0
1549,532,14.17105713308245,64.85032500855286,42.56388888888888,-6.6,1
1561I,770,12.275610766045547,68.77204968944099,42.76611111111111,-6.673611111111112,0
1583X,315,15.19341085271318,64.70257037943696,42.41555555555556,-6.993055555555555,1
1631E,840,11.990462107208872,69.7637707948244,42.339444444444446,-7.2825,0
1639X,990,11.156134486826582,75.5768777034998,42.26027777777778,-7.383611111111112,0
1658,612,12.891899791231733,73.55386221294363,42.58861111111111,-7.191666666666667,0
1679A,291,14.255474882260595,74.69937205651492,42.531666666666666,-7.510833333333333,0
1690A,146,16.115321477428182,69.13201094391245,42.32527777777778,-7.859722222222222,1
1696O,610,12.312941762070682,79.95893479342956,42.46805555555556,-8.278055555555556,0
1700X,400,13.804311073541843,73.58516483516483,42.421388888888885,-8.092500000000001,0
1701X,112,15.859461924304608,74.47264021887825,42.3,-8.129166666666666,0
1706A,492,13.811462631820266,70.39798257679963,42.18277777777777,-7.796111111111111,0
1719,560,13.757838208409508,76.27330895795247,42.21805555555556,-8.281111111111112,0
1723X,90,15.559977064220183,77.4084862385321,42.18222222222222,-8.492777777777777,0
1730E,55,16.08884324347036,73.78482241979621,41.943888888888885,-8.8475,0
1735X,616,12.031621036680809,69.15687534702778,42.07916666666667,-7.733611111111111,0
1738U,730,12.940069124423964,73.9463133640553,41.93416666666666,-7.988888888888889,0
1740,150,14.337631458619114,80.53269318701417,43.37722222222222,-4.124444444444444,0
2005Y,1197,10.600267528939822,68.7549632111657,41.967777777777776,-2.7827777777777776,3
2017Y,1260,10.132421875,66.79273897058823,41.99583333333334,-2.494166666666666,3
2030,1081,12.160648148148148,62.683712121212125,41.775,-2.483055555555556,4
2044B,1100,11.586241768579491,63.21123361891206,41.60055555555556,-2.5075,4
2048A,978,11.694297445255476,64.12157846715328,41.41944444444445,-2.4202777777777778,4
2059B,1042,11.78328975698948,63.865495840931,41.34972222222223,-2.783333333333333,4
2084Y,960,11.121921568627451,68.1435294117647,41.721944444444446,-3.046944444444444,1
2092,932,12.25867006669282,61.36406433895645,41.589444444444446,-3.0869444444444447,4
2096B,1150,12.019097413318658,59.17068299884669,41.37361111111111,-3.251388888888889,4
2106B,955,12.253270094857713,61.812531203195206,41.74583333333334,-3.3819444444444446,4
2117D,790,12.584437009714144,55.177194214530104,41.66583333333333,-3.742777777777778,4
2135A,993,11.615252938170668,64.69979560551864,41.37277777777778,-3.507222222222222,4
2140A,1135,12.374840036563072,63.20658135283364,41.464444444444446,-3.785833333333333,4
2150H,1798,8.41391129032258,62.26142473118279,41.19194444444444,-3.475277777777778,3
2166Y,756,12.894008834897846,62.39867476532302,41.59305555555556,-4.124722222222222,4
2172Y,725,13.428166351606805,64.10743541272842,41.61194444444445,-4.405555555555556,4
2182C,1107,12.56795154185022,58.618116740088105,41.13388888888889,-3.790277777777778,4
2192C,795,12.205287671232877,62.31616438356164,41.38361111111111,-4.265555555555555,4
2235U,1140,11.363573883161513,63.16838487972509,42.87055555555556,-4.52,3
2243A,910,10.852141982864138,72.44798041615667,42.79805555555556,-4.277222222222222,1
2276B,908,11.452445842068483,67.99685534591195,42.56888888888889,-4.575,4
2285B,869,12.896433470507544,66.32098765432099,42.52388888888889,-4.001111111111111,4
2290Y,771,12.303322908522283,64.50351837372948,42.25111111111111,-4.198888888888889,4
2296A,1039,12.166045548654242,60.02657004830918,41.77555555555556,-1.9766666666666668,1
2298,1080,11.337146066969845,57.44901323420906,41.95972222222223,-3.131666666666667,4
2302N,1197,10.26758385394165,68.45658471819463,42.146388888888886,-3.1097222222222225,3
2311Y,884,12.213133498145858,63.28955500618047,42.10527777777778,-3.767777777777778,4
2331,891,11.299682034976152,68.34817170111288,42.35694444444445,-3.620277777777778,1
2362C,1575,9.593908472479901,64.68790965320822,42.89388888888889,-4.713611111111112,3
2374X,830,12.284823776959495,65.7017359284587,42.35083333333333,-4.617222222222223,4
2400E,874,11.764673242909987,66.06011097410604,41.99555555555556,-4.602777777777778,4
2401X,736,12.78569667077682,68.55517879161529,42.00944444444445,-4.560555555555555,4
